"  ","Player"," ","Team","Power Score","Power Score SD","Number of Power Rushes Faced","Ranking"
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/elgtonj.png"" height=""35""></img>'","Elgton Jenkins","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/packers.png""  height=""30""></img>'","GB",-0.297,0.274,32,65
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/elijahw.png"" height=""35""></img>'","Elijah Wilkinson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",-0.246,0.277,22,62
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/ericf.png"" height=""35""></img>'","Eric Fisher","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'","IND",-0.507,0.273,56,77
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/garettb.png"" height=""35""></img>'","Garett Bolles","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/broncos.png"" height=""30""></img>'","DEN",0.203,0.272,94,37
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/georgef.png"" height=""35""></img>'","George Fant","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jets.png""  height=""30""></img>'","NYJ",-0.875,0.272,68,88
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/germaini.png"" height=""35""></img>'","Germain Ifedi","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",-0.108,0.273,38,55
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/geronc.png"" height=""35""></img>'","Geron Christian","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png""  height=""30""></img>'","HOU",-0.861,0.273,43,86
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/isaiahw.png"" height=""35""></img>'","Isaiah Wynn","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png""  height=""30""></img>'","NE",-1.209,0.271,111,97
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jackc.png"" height=""35""></img>'","Jack Conklin","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-0.327,0.275,32,67
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jackd.png"" height=""35""></img>'","Jack Driscoll","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'","PHI",2.002,0.283,10,3
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jakem.png"" height=""35""></img>'","Jake Matthews","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/falcons.png""  height=""30""></img>'","ATL",-0.979,0.272,129,91
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jamarcoj.png"" height=""35""></img>'","Jamarco Jones","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png""  height=""30""></img>'","SEA",0.748,0.295,5,19
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jamesh.png"" height=""35""></img>'","James Hudson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-1.114,0.277,20,93
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jameshurst.png"" height=""35""></img>'","James Hurst","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/saints.png""  height=""30""></img>'","NO",0.479,0.275,31,26
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jasonp.png"" height=""35""></img>'","Jason Peters","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",0.57,0.272,55,23
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jasonj.png"" height=""35""></img>'","Jason Spriggs","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/falcons.png""  height=""30""></img>'","ATL",-0.862,0.278,17,87
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jawaant.png"" height=""35""></img>'","Jawaan Taylor","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jags.png""  height=""30""></img>'","JAX",0.143,0.272,77,40
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jaylonm.png"" height=""35""></img>'","Jaylon Moore","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/49ers.png"" height=""35""></img>'","SF",-1.141,0.297,5,96
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jedrickw.png"" height=""35""></img>'","Jedrick Wills","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-0.319,0.275,29,66
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jessed.png"" height=""35""></img>'","Jesse Davis","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/dolphins.png""  height=""30""></img>'","MIA",0.874,0.272,55,12
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/joeh.png"" height=""35""></img>'","Joe Haeg","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png""  height=""30""></img>'","PIT",0.147,0.273,38,39
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jonahw.png"" height=""35""></img>'","Jonah Williams","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bengals.png"" height=""30""></img>'","CIN",0.057,0.271,114,48
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/jordanm.png"" height=""35""></img>'","Jordan Mailata","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'","PHI",-0.394,0.272,49,73
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/joshj.png"" height=""35""></img>'","Josh Jones","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'","ARI",-0.594,0.276,24,81
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/juliend.png"" height=""35""></img>'","Julien Davenport","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'","IND",0.804,0.274,34,15
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/justinh.png"" height=""35""></img>'","Justin Herron","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png""  height=""30""></img>'","NE",-0.694,0.273,74,83
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/justinm.png"" height=""35""></img>'","Justin Murray","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'","ARI",-0.332,0.281,12,68
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/kalebm.png"" height=""35""></img>'","Kaleb McGary","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/falcons.png""  height=""30""></img>'","ATL",-1.117,0.272,80,94
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/kelvinb.png"" height=""35""></img>'","Kelvin Beachum","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'","ARI",0.111,0.274,30,43
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/kendalll.png"" height=""35""></img>'","Kendall Lamm","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'","TEN",-0.262,0.282,12,63
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/koltonm.png"" height=""35""></img>'","Kolton Miller","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/raiders.png""  height=""30""></img>'","LV",-0.207,0.272,111,60
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/laelc.png"" height=""35""></img>'","La'el Collins","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cowboys.png"" height=""30"" ></img>'","DAL",-0.998,0.277,17,92
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/lachaviouss.png"" height=""35""></img>'","Lachavious Simmons","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",0.233,0.298,5,36
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/lanej.png"" height=""35""></img>'","Lane Johnson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'","PHI",0.301,0.273,49,34
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/laremyt.png"" height=""35""></img>'","Laremy Tunsil","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png""  height=""30""></img>'","HOU",-0.233,0.274,38,61
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/liame.png"" height=""35""></img>'","Liam Eichenberg","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/dolphins.png""  height=""30""></img>'","MIA",-0.381,0.271,91,72
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/lucasn.png"" height=""35""></img>'","Lucas Niang","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chiefs.png""  height=""30""></img>'","KC",0.569,0.273,51,24
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/marcusc.png"" height=""35""></img>'","Marcus Cannon","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png""  height=""30""></img>'","HOU",-1.128,0.274,31,95
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/mattn.png"" height=""35""></img>'","Matt Nelson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/lions.png""  height=""30""></img>'","DET",0.449,0.271,114,27
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/mattp.png"" height=""35""></img>'","Matt Peart","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/giants.png""  height=""30""></img>'","NYG",-0.717,0.274,44,85
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/mattpryor.png"" height=""35""></img>'","Matt Pryor","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'","IND",-0.564,0.275,27,80
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/michaelo.png"" height=""35""></img>'","Michael Onwenu","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png""  height=""30""></img>'","NE",0.397,0.276,21,28
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/mikem.png"" height=""35""></img>'","Mike McGlinchey","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/49ers.png"" height=""35""></img>'","SF",-0.332,0.272,66,69
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/miker.png"" height=""35""></img>'","Mike Remmers","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chiefs.png""  height=""30""></img>'","KC",0.933,0.275,35,10
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/morganm.png"" height=""35""></img>'","Morgan Moses","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jets.png""  height=""30""></img>'","NYJ",-0.19,0.273,52,59
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/nates.png"" height=""35""></img>'","Nate Solder","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/giants.png""  height=""30""></img>'","NYG",0.815,0.272,75,13
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/orlandob.png"" height=""35""></img>'","Orlando Brown","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chiefs.png""  height=""30""></img>'","KC",0.778,0.272,67,18
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/patrickm.png"" height=""35""></img>'","Patrick Mekari","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/ravens.png""  height=""30""></img>'","BAL",0.073,0.273,58,45
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/peneis.png"" height=""35""></img>'","Penei Sewell","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/lions.png""  height=""30""></img>'","DET",0.943,0.272,125,9
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/rashawns.png"" height=""35""></img>'","Rashawn Slater","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chargers.png""  height=""30""></img>'","LAC",0.371,0.271,115,31
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/rashodh.png"" height=""35""></img>'","Rashod Hill","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/vikings.png""  height=""30"" ></img>'","MIN",-0.428,0.272,54,74
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/rileyr.png"" height=""35""></img>'","Riley Reiff","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bengals.png"" height=""30""></img>'","CIN",-0.033,0.271,98,51
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/robh.png"" height=""35""></img>'","Rob Havenstein","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/rams.png""  height=""30""></img>'","LA",0.337,0.271,87,33
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/ronnies.png"" height=""35""></img>'","Ronnie Stanley","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/ravens.png""  height=""30""></img>'","BAL",2.198,0.281,14,2
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/ryanr.png"" height=""35""></img>'","Ryan Ramczyk","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/saints.png""  height=""30""></img>'","NO",0.138,0.272,54,42
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/samuelc.png"" height=""35""></img>'","Samuel Cosmi","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/commanders.png"" height=""30"" ></img>'","WAS",-0.168,0.273,41,58
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/spencerb.png"" height=""35""></img>'","Spencer Brown","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bills.png"" height=""30"" ></img>'","BUF",-0.44,0.276,25,75
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/stormn.png"" height=""35""></img>'","Storm Norton","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chargers.png""  height=""30""></img>'","LAC",-1.366,0.272,75,99
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/taylorl.png"" height=""35""></img>'","Taylor Lewan","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'","TEN",-0.348,0.272,60,71
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/taylorm.png"" height=""35""></img>'","Taylor Moton","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/panthers.png""  height=""30""></img>'","CAR",1.078,0.271,114,6
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/terences.png"" height=""35""></img>'","Terence Steele","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cowboys.png"" height=""30"" ></img>'","DAL",-0.876,0.272,63,89
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/terrona.png"" height=""35""></img>'","Terron Armstead","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/saints.png""  height=""30""></img>'","NO",-0.112,0.275,29,57
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/trentw.png"" height=""35""></img>'","Trent Williams","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/49ers.png"" height=""35""></img>'","SF",0.362,0.272,67,32
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/tristanw.png"" height=""35""></img>'","Tristan Wirfs","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bucs.png"" height=""30"" ></img>'","TB",0.015,0.271,140,49
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/tys.png"" height=""35""></img>'","Ty Sambrailo","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'","TEN",0.236,0.277,20,35
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/tyrep.png"" height=""35""></img>'","Tyre Phillips","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/ravens.png""  height=""30""></img>'","BAL",4.277,0.289,7,1
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/tyrons.png"" height=""35""></img>'","Tyron Smith","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cowboys.png"" height=""30"" ></img>'","DAL",0.102,0.271,82,44
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/yasird.png"" height=""35""></img>'","Yasir Durant","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/pats.png""  height=""30""></img>'","NE",-0.922,0.283,11,90
